ingredient name,Vegetarian ,Healthy,East-Asian,Indian,Spanish,American,Italian,No Cuisine
whole wheat pasta,1,1,,,,,,
fettucini,1,1,,,,1,1,
noodles,1,,1,,,,1,
spaghetti,1,1,1,,,1,1,
macaroni,1,1,,,,,1,
lasagne,1,1,,,,,1,
rigatoni,1,1,,,,,1,
bucatini,1,1,,,,,1,
manicotti,1,1,,,,,1,
farfalle,1,1,,,,,1,
fusilli,1,1,,,,,,
pho noodles,1,1,1,,,,,
roti,1,1,,1,,,,
fettuccini pasta,1,1,,1,,,,
pasta,1,1,,1,,1,1,
linguine,1,1,,,1,,1,
ravioli,1,1,,,,1,1,
vermicelli,1,1,1,,,,,
tortellini,1,1,,,,,1,
manicotti shells,1,1,,,,,1,
pasta sheets,1,1,,,,,1,
