ingredient name,Vegetarian ,Healthy,East-Asian,Indian,Spanish,American,Italian,No Cuisine
brown rice bread,1,1,,,,,,
brown rice tortilla,1,1,,,,,,
oat bread,1,1,,,,,,
whole wheat bread,1,1,,,,,,
whole wheat pita bread,1,1,,,,,,
whole wheat sandwich buns and rolls,1,1,,,,,,
whole wheat tortillas,1,1,,,,,,
cornbread,1,,,,,,,
corn tortillas,1,1,,,1,1,,
tortilla,1,1,,,1,,,
hamburger buns,1,1,,,,1,,
buns,1,1,,,,1,,
french rolls,1,1,,,,1,,
pie crust,1,1,,,,1,,
pie crusts,1,1,,,,1,,
pizza crust,1,1,,,,1,1,
pizza crusts,1,1,,,,1,1,
tortilla chips,1,1,,,,1,,
kaiser rolls,1,1,,,1,1,,
rolls,1,1,,,,1,1,
waffles,1,1,,,,1,,
pita breads,1,1,1,,,,,
pita,1,1,1,,,,,
flour tortillas,1,1,,,1,,,
pitas,1,1,,,,,,
white bread,1,1,,,1,1,1,
white sandwich buns and rolls,1,1,,,,,,
dough,1,1,1,,,,1,
italian rolls,1,1,,,,,1,
bread,1,1,,,1,,1,
italian bread,1,1,,,,1,1,
bread crumbs,1,1,1,1,,1,1,
stale italian bread,1,1,,,,,1,
ciabatta rolls,1,1,,,,,1,
puff pastry,1,1,1,,,1,,
tostada shells,1,1,,,1,,,
masa,1,1,,,1,,,
masa harina,1,1,,,1,,,
crackers,1,,1,,,1,,
pretzels,1,1,,,,,,
taco,1,1,,,1,,,
panko crumbs,1,1,1,,,,,
